,Financing Type,Name of Financing Entity,Amount of Funds,Effective Interest Rate,Term (Months),File Name,Funding Type,Financing_sub_cat,Zip Code,Project Type,Total Units,Total Square Footage,Census Tract,Total Project Cost
23,State Housing Credit Equity,Affordable Equity Partners,2972514,,,flintridgeg,Permanent Financing,State Housing Credit Equity,31705,Family,54,56900,107,10997504.7
28,State Housing Credit Equity,SunTrust Community Capital,418458,,,canaancrssgg,Construction Financing,State Housing Credit Equity,39837,Family,60,61245,103,13019902
32,State Housing Credit Equity,SunTrust Community Capital,4184582,,,canaancrssgg,Permanent Financing,State Housing Credit Equity,39837,Family,60,61245,103,13019902
36,State Housing Credit Equity,"Affordable Equity Partners, Inc",797000,,,newnancrossg,Construction Financing,State Housing Credit Equity,30265,HFOP,74,76320,13077170602,14454200
40,State Housing Credit Equity,"Affordable Equity Partners, Inc",3985000,,,newnancrossg,Permanent Financing,State Housing Credit Equity,30265,HFOP,74,76320,13077170602,14454200
44,State Housing Credit Equity,SunTrust Community Capital,2338006,,,anthm2,Construction Financing,State Housing Credit Equity,30331,Elderly,70,78105,103.03,12459752.03
49,State Housing Credit Equity,SunTrust Community Capital,3596933,,,anthm2,Permanent Financing,State Housing Credit Equity,30331,Elderly,70,78105,103.03,12459752.03
55,State Housing Credit Equity,,4720326,,,havensatlantag,Permanent Financing,State Housing Credit Equity,30315,Family,84,77620,67,15872847
58,State Housing Credit Equity,"TBG Harper Woods Investments, Inc.",1017800,,,harperwdsg,Construction Financing,State Housing Credit Equity,31909,Family,96,105167,101.06,16610969
62,State Housing Credit Equity,"TBG Harper Woods Investments, LLC",5089000,,,harperwdsg,Permanent Financing,State Housing Credit Equity,31909,Family,96,105167,101.06,16610969
65,State Housing Credit Equity,RBC Capital Markets,2739000,,,hearthsidesmyrnag,Construction Financing,State Housing Credit Equity,30082,Elderly,75,95444,312.06,14576099
69,State Housing Credit Equity,RBC Capital Markets,4565000,,,hearthsidesmyrnag,Permanent Financing,State Housing Credit Equity,30082,Elderly,75,95444,312.06,14576099
72,State Housing Credit Equity,TBD - Monarch (incl. 0.01% Fed),1137488,,,_24east,Construction Financing,State Housing Credit Equity,30012,HFOP,107,118116,603.04,18358766
77,State Housing Credit Equity,TBD - Monarch (Incl. 1% Fed),5687440,,,_24east,Permanent Financing,State Housing Credit Equity,30012,HFOP,107,118116,603.04,18358766
80,State Housing Credit Equity,RBC Capital Partners,3217500,,,wrredev2g,Construction Financing,State Housing Credit Equity,31088,Family,90,84736,207,15870000
83,State Housing Credit Equity,RBC Capital Markets,4950000,,,wrredev2g,Permanent Financing,State Housing Credit Equity,31088,Family,90,84736,207,15870000
87,State Housing Credit Equity,State Investor - Churchill Stateside,2005162,,,abbgntnormewdpkg,Construction Financing,State Housing Credit Equity,30316,Family,42,43037,13121005200,9974620
93,State Housing Credit Equity,State Investor - Churchill Stateside,3084864,,,abbgntnormewdpkg,Permanent Financing,State Housing Credit Equity,30316,Family,42,43037,13121005200,9974620
97,State Housing Credit Equity,Sugar Creek Capital,325000,,,woodstone2g,Construction Financing,State Housing Credit Equity,31763,Family,40,36972,203,5168536
100,State Housing Credit Equity,Sugar Creek,1993577,,,woodstone2g,Permanent Financing,State Housing Credit Equity,31763,Family,40,36972,203,5168536
104,State Housing Credit Equity,Raymond James,713400,,,creeksideg,Construction Financing,State Housing Credit Equity,31061,HFOP,60,65906,9703,10472071
108,State Housing Credit Equity,Raymond James,3566999,,,creeksideg,Permanent Financing,State Housing Credit Equity,31061,HFOP,60,65906,9703,10472071
111,State Housing Credit Equity,Raymond James,2760694,,,villgchickamauga2g,Construction Financing,State Housing Credit Equity,30707,HFOP,60,65957,205.01,11798713
115,State Housing Credit Equity,Raymond James,3384607,,,villgchickamauga2g,Permanent Financing,State Housing Credit Equity,30707,HFOP,60,65957,205.01,11798713
118,State Housing Credit Equity,Affordable Equity Partners,687412,,,liveoaklndg2,Construction Financing,State Housing Credit Equity,31404,Family,54,56224,13051001100,10703347
121,State Housing Credit Equity,Affordable Equity Partners,3437063,,,liveoaklndg2,Permanent Financing,State Housing Credit Equity,31404,Family,54,56224,13051001100,10703347
125,State Housing Credit Equity,SunTrust Community Capital,791280,,,millvillageg,Construction Financing,State Housing Credit Equity,31901,Family,102,99100,16,19201636
130,State Housing Credit Equity,SunTrust Community Capital,5275200,,,millvillageg,Permanent Financing,State Housing Credit Equity,31901,Family,102,99100,16,19201636
134,State Housing Credit Equity,Affordable Equity Partners,464879.2,,,westoversr,Construction Financing,State Housing Credit Equity,31707,HFOP,46,48320,204.03,8684197.37
138,State Housing Credit Equity,Affordable Equity Partners,2324396,,,westoversr,Permanent Financing,State Housing Credit Equity,31707,HFOP,46,48320,204.03,8684197.37
143,State Housing Credit Equity,SunTrust (State Equity),1590000,,,thriveswtauburng,Construction Financing,State Housing Credit Equity,30312,Family,117,118555,119,19311237
148,State Housing Credit Equity,SunTrust (State Equity),5300000,,,thriveswtauburng,Permanent Financing,State Housing Credit Equity,30312,Family,117,118555,119,19311237
153,State Housing Credit Equity,(Proposed) Sugar Creek,1738763.6,,,northsidesrvlgg,Construction Financing,State Housing Credit Equity,31210,Elderly,72,78966,121.02,12128839
157,State Housing Credit Equity,(Proposed) Sugar Creek,4346909,,,northsidesrvlgg,Permanent Financing,State Housing Credit Equity,31210,Elderly,72,78966,121.02,12128839
160,State Housing Credit Equity,"Monarch Private Capital, LLC",3070440,,,crowvllyhtsg,Construction Financing,State Housing Credit Equity,30720,Family,80,87762,5.01,14874336
164,State Housing Credit Equity,"Monarch Private Capital, LLC",5117400,,,crowvllyhtsg,Permanent Financing,State Housing Credit Equity,30720,Family,80,87762,5.01,14874336
168,State Housing Credit Equity,Affordable Equity Partners,507449.2,,,flintridgedr_g,Construction Financing,State Housing Credit Equity,31705,Family,54,56900,107,10918744.99
172,State Housing Credit Equity,Affordable Equity Partners,2537246,,,flintridgedr_g,Permanent Financing,State Housing Credit Equity,31705,Family,54,56900,107,10918744.99
175,State Housing Credit Equity,Affordable Equity Partners,768612,,,sterlinghtsg,Construction Financing,State Housing Credit Equity,31210,HFOP,68,75971,134.07,12317500
177,State Housing Credit Equity,Affordable Equity Partners,3843060,,,sterlinghtsg,Permanent Financing,State Housing Credit Equity,31210,HFOP,68,75971,134.07,12317500
182,State Housing Credit Equity,SunTrust Community Capital,3396250,,,waltonharborg,Construction Financing,State Housing Credit Equity,30501,Family,81,94314,10.03,15135510
187,State Housing Credit Equity,SunTrust Community Capital,5225000,,,waltonharborg,Permanent Financing,State Housing Credit Equity,30501,Family,81,94314,10.03,15135510
191,State Housing Credit Equity,Sugar Creek Capital,714000,,,flatssamlaneg,Construction Financing,State Housing Credit Equity,30736,Family,72,90937,302.01,14673912
195,State Housing Credit Equity,Sugar Creek Capital,4757000,,,flatssamlaneg,Permanent Financing,State Housing Credit Equity,30736,Family,72,90937,302.01,14673912
199,State Housing Credit Equity,Boston Financial,2426404,,,verandaassemblyg,Construction Financing,State Housing Credit Equity,30341,HFOP,100,104000,213.01,17094539.6
204,State Housing Credit Equity,Boston Financial,5097487,,,verandaassemblyg,Permanent Financing,State Housing Credit Equity,30341,HFOP,100,104000,213.01,17094539.6
208,State Housing Credit Equity,SunTrust Community Capital,3038750,,,legacywaltontrlg,Construction Financing,State Housing Credit Equity,30180,HFOP,90,109680,9101.01,16675922
212,State Housing Credit Equity,SunTrust Community Capital,4675000,,,legacywaltontrlg,Permanent Financing,State Housing Credit Equity,30180,HFOP,90,109680,9101.01,16675922
215,State Housing Credit Equity,"Affordable Equity Partners, Inc",611601,,,pineviewtraceg,Construction Financing,State Housing Credit Equity,31092,Family,50,56040,13093970300,10268471
218,State Housing Credit Equity,"Affordable Equity Partners, Inc.",3058005,,,pineviewtraceg,Permanent Financing,State Housing Credit Equity,31092,Family,50,56040,13093970300,10268471
221,State Housing Credit Equity,"Affordable Equity Partners, Inc",611601,,,pineviewtraceg,Construction Financing,State Housing Credit Equity,31092,Family,50,56040,13093970300,10268471
224,State Housing Credit Equity,"Affordable Equity Partners, Inc.",3058005,,,pineviewtraceg,Permanent Financing,State Housing Credit Equity,31092,Family,50,56040,13093970300,10268471
227,State Housing Credit Equity,Affordable Equity Partners,711368.4,,,suttonterrace,Construction Financing,State Housing Credit Equity,30523,Family,72,68800,2.01,12971964.24
231,State Housing Credit Equity,Affordable Equity Partners,3556842,,,suttonterrace,Permanent Financing,State Housing Credit Equity,30523,Family,72,68800,2.01,12971964.24
233,State Housing Credit Equity,Raymond James,1386317,,,woodlawnsrvllgg,Construction Financing,State Housing Credit Equity,31021,HFOP,48,38930,9504,4958118
236,State Housing Credit Equity,Raymond James,1762500,,,woodlawnsrvllgg,Permanent Financing,State Housing Credit Equity,31021,HFOP,48,38930,9504,4958118
151,"State, Local, or Private Grant",Macon Water Authority,110000,,,northsidesrvlgg,Construction Financing,Local Grant,31210,Elderly,72,78966,121.02,12128839
155,"State, Local, or Private Grant",Macon Water Authority,110000,,,northsidesrvlgg,Permanent Financing,Local Grant,31210,Elderly,72,78966,121.02,12128839
180,"State, Local, or Private Grant",City of Gainesville - CDBG,350000,,,waltonharborg,Construction Financing,Local Grant,30501,Family,81,94314,10.03,15135510
185,"State, Local, or Private Grant",City of Gainesville - CDBG,350000,,,waltonharborg,Permanent Financing,Local Grant,30501,Family,81,94314,10.03,15135510
