,Source,Source type,Term (months),Interest Rate,Amount of Funds,PDF_Filename,Financing Type,Residual Receipts/Deferred Pymt.,Annual Debt Service,Sourcing Type,Application Number,Unnamed: 1,Type of tax credit funding_x,Project Name_x,Project Address,Project City_x,Project Zip Code_x,Project Phone Number,Project County_x,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type_x,Housing Type_x,Total Units_x,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award_x,Total State Award_x,Housing Type_y,Total Units_y,Type of tax credit funding_y,Project Name_y,Project City_y,Project Zip Code_y,Project County_y,Collapsed Construction Type,Construction Type_y,Annual Federal Award_y,Total State Award_y,Total Costs,Land and Acquisition,Construction Costs,Rehabilitation Costs,Construction Contigency,Hard Cost Contingency ,Soft Cost Contingency ,Relocation,Arch/Engineering,CIPF,Legal Fees,Reserves,Other Costs,Developer Fee,Commercial Costs,Construction Cost per Square Foot,Per Unit Cost,True Cash per Unit Cost,#ofPermFinancing Sources,Federal Tax Credit Factor
121,Costs Deferred Until Completion,,,,"$1,273,459 ",19-035,Construction Financing,,,Deferred Developer Fee,CA-2019-035,,0.09,Fairview Heights Apartments,"923 E Redondo Blvd, Inglewood, CA 90302",Inglewood,90302,,Los Angeles,62.0,30.0,43.0,6009.12,4013-009-900,Preliminary Reservation,,,New Construction,Large Family,101.0,100.0,0.0,50.0,26.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,"LINC-CORE Fairview Metro, LP",Luis Rodriguez,9421 Haven Ave,Rancho Cucamonga,CA,91730.0,5626841128,,LINC Housing Corporation,National Community Renaissance of California,,,,National CORE,Michael Ruane,9421 Haven Ave,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing Corporation,2500000.0,3191779.0,Large Family,101,0.09,Fairview Heights Apartments,Inglewood,90302,Los Angeles,New Construction,New Construction,2500000.0,3191779.0,53346122,7255491.0,31855353.0,0.0,2028240.0,,,0.0,1122048,2088148,51426.0,395121,3378122,1888040,3284133.0,286,495663,446186.0,6,0.9342
122,Citibank Permanent Loan,,180,6.250%,"$10,812,188",19-035,Permanent Financing,,"$798,870",Bank Loan,CA-2019-035,,0.09,Fairview Heights Apartments,"923 E Redondo Blvd, Inglewood, CA 90302",Inglewood,90302,,Los Angeles,62.0,30.0,43.0,6009.12,4013-009-900,Preliminary Reservation,,,New Construction,Large Family,101.0,100.0,0.0,50.0,26.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,"LINC-CORE Fairview Metro, LP",Luis Rodriguez,9421 Haven Ave,Rancho Cucamonga,CA,91730.0,5626841128,,LINC Housing Corporation,National Community Renaissance of California,,,,National CORE,Michael Ruane,9421 Haven Ave,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing Corporation,2500000.0,3191779.0,Large Family,101,0.09,Fairview Heights Apartments,Inglewood,90302,Los Angeles,New Construction,New Construction,2500000.0,3191779.0,53346122,7255491.0,31855353.0,0.0,2028240.0,,,0.0,1122048,2088148,51426.0,395121,3378122,1888040,3284133.0,286,495663,446186.0,6,0.9342
123,Residual Receipts Land Lease,,660,3.000%,"$5,325,000",19-035,Permanent Financing,Residual,,,CA-2019-035,,0.09,Fairview Heights Apartments,"923 E Redondo Blvd, Inglewood, CA 90302",Inglewood,90302,,Los Angeles,62.0,30.0,43.0,6009.12,4013-009-900,Preliminary Reservation,,,New Construction,Large Family,101.0,100.0,0.0,50.0,26.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,"LINC-CORE Fairview Metro, LP",Luis Rodriguez,9421 Haven Ave,Rancho Cucamonga,CA,91730.0,5626841128,,LINC Housing Corporation,National Community Renaissance of California,,,,National CORE,Michael Ruane,9421 Haven Ave,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing Corporation,2500000.0,3191779.0,Large Family,101,0.09,Fairview Heights Apartments,Inglewood,90302,Los Angeles,New Construction,New Construction,2500000.0,3191779.0,53346122,7255491.0,31855353.0,0.0,2028240.0,,,0.0,1122048,2088148,51426.0,395121,3378122,1888040,3284133.0,286,495663,446186.0,6,0.9342
124,LACDC Residual Receipts Loan,,684,3.000%,"$9,460,000",19-035,Permanent Financing,Residual,,Local Grant,CA-2019-035,,0.09,Fairview Heights Apartments,"923 E Redondo Blvd, Inglewood, CA 90302",Inglewood,90302,,Los Angeles,62.0,30.0,43.0,6009.12,4013-009-900,Preliminary Reservation,,,New Construction,Large Family,101.0,100.0,0.0,50.0,26.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,"LINC-CORE Fairview Metro, LP",Luis Rodriguez,9421 Haven Ave,Rancho Cucamonga,CA,91730.0,5626841128,,LINC Housing Corporation,National Community Renaissance of California,,,,National CORE,Michael Ruane,9421 Haven Ave,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing Corporation,2500000.0,3191779.0,Large Family,101,0.09,Fairview Heights Apartments,Inglewood,90302,Los Angeles,New Construction,New Construction,2500000.0,3191779.0,53346122,7255491.0,31855353.0,0.0,2028240.0,,,0.0,1122048,2088148,51426.0,395121,3378122,1888040,3284133.0,286,495663,446186.0,6,0.9342
125,2nd District Prop A Funds,,,,"$2,000,000",19-035,Permanent Financing,,,,CA-2019-035,,0.09,Fairview Heights Apartments,"923 E Redondo Blvd, Inglewood, CA 90302",Inglewood,90302,,Los Angeles,62.0,30.0,43.0,6009.12,4013-009-900,Preliminary Reservation,,,New Construction,Large Family,101.0,100.0,0.0,50.0,26.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,"LINC-CORE Fairview Metro, LP",Luis Rodriguez,9421 Haven Ave,Rancho Cucamonga,CA,91730.0,5626841128,,LINC Housing Corporation,National Community Renaissance of California,,,,National CORE,Michael Ruane,9421 Haven Ave,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing Corporation,2500000.0,3191779.0,Large Family,101,0.09,Fairview Heights Apartments,Inglewood,90302,Los Angeles,New Construction,New Construction,2500000.0,3191779.0,53346122,7255491.0,31855353.0,0.0,2028240.0,,,0.0,1122048,2088148,51426.0,395121,3378122,1888040,3284133.0,286,495663,446186.0,6,0.9342
126,Construction Loan- Wells Fargo Bank,,21,5.75%,"$22,325,123 ",19-036,Construction Financing,,,Bank Loan,CA-2019-036,,0.09,Stonegate Village Phase II,"Walnut Ave and North 1st Street, Patterson, CA 95363",Patterson,95363,,Stanislaus,21.0,12.0,10.0,32.01,047-059-008,Preliminary Reservation,,,New Construction,Large Family,72.0,71.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,40.0,0.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: P.O. Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,2500000.0,,Large Family,72,0.09,Stonegate Village Phase II,Patterson,95363,Stanislaus,New Construction,New Construction,2500000.0,,26314259,515000.0,17625000.0,0.0,1396875.0,,,0.0,600000,1917586,120000.0,133637,2206162,1800000,0.0,259,365476,360267.0,4,0.9443
127,First Mortgage - CCRC,,360,5.700%,"$2,326,000",19-036,Permanent Financing,,"$167,347",Local Grant,CA-2019-036,,0.09,Stonegate Village Phase II,"Walnut Ave and North 1st Street, Patterson, CA 95363",Patterson,95363,,Stanislaus,21.0,12.0,10.0,32.01,047-059-008,Preliminary Reservation,,,New Construction,Large Family,72.0,71.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,40.0,0.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: P.O. Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,2500000.0,,Large Family,72,0.09,Stonegate Village Phase II,Patterson,95363,Stanislaus,New Construction,New Construction,2500000.0,,26314259,515000.0,17625000.0,0.0,1396875.0,,,0.0,600000,1917586,120000.0,133637,2206162,1800000,0.0,259,365476,360267.0,4,0.9443
128,Deferred Developer Fee,,,,"$375,000",19-036,Permanent Financing,Deferred,,Deferred Developer Fee,CA-2019-036,,0.09,Stonegate Village Phase II,"Walnut Ave and North 1st Street, Patterson, CA 95363",Patterson,95363,,Stanislaus,21.0,12.0,10.0,32.01,047-059-008,Preliminary Reservation,,,New Construction,Large Family,72.0,71.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,40.0,0.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: P.O. Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,2500000.0,,Large Family,72,0.09,Stonegate Village Phase II,Patterson,95363,Stanislaus,New Construction,New Construction,2500000.0,,26314259,515000.0,17625000.0,0.0,1396875.0,,,0.0,600000,1917586,120000.0,133637,2206162,1800000,0.0,259,365476,360267.0,4,0.9443
129,Bank of America (Construction Lender),,24,5.00%,"$31,306,659 ",19-037,Construction Financing,,,Bank Loan,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
130,Tax Credit Equity,,24,,"$4,108,992 ",19-037,Construction Financing,,,Federal Credit,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
131,HACLA Ground Lease,,24,4.00%,"$2,800,000 ",19-037,Construction Financing,,,Local Grant,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
132,Cost Deferred During Construction,,24,,"$883,955 ",19-037,Construction Financing,,,Deferred Developer Fee,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
133,HACLA Gap Loan,,24,3.00%,"$1,750,000 ",19-037,Construction Financing,,,Local Grant,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
134,Accrued/Deferred Interest,,,,"$220,000 ",19-037,Construction Financing,,,Deferred Developer Fee,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
135,Bank of America (Permanent Loan),,420,5.740%,"$8,063,000",19-037,Permanent Financing,,"$515,735",Bank Loan,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
136,HACLA Ground Lease,,660,4.000%,"$2,800,000",19-037,Permanent Financing,Residual,,Local Grant,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
137,HACLA Gap Loan,,660,3.000%,"$1,750,000",19-037,Permanent Financing,Residual,,Local Grant,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
138,Accrued/Deferred Interest,,,,"$220,000",19-037,Permanent Financing,,,Deferred Developer Fee,CA-2019-037,,0.09,Jordan Downs Area H (Phase II) ,"2062 E. 99th Place, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64.0,35.0,44.0,2421.0,6046-019-930,Preliminary Reservation,,,New Construction,Large Family,80.0,77.0,0.0,21.0,38.0,17.0,4.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,25.0,0.0,11.0,0.0,9.0,"Jordan Downs 2B, LP",Anna Slaby,"600 California Street, Suite 900",San Francisco,CA,94108.0,9492297076,,"JD Housing 2B, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street #700,Los Angeles,Ca,. 90017,2137872700,,BRIDGE Housing Corporation,2500000.0,3781043.0,Large Family,80,0.09,Jordan Downs Area H (Phase II) ,Los Angeles,90002,Los Angeles,New Construction,New Construction,2500000.0,3781043.0,43027714,2840000.0,28685910.0,0.0,1626361.0,,,0.0,1730000,2789199,315000.0,325000,2738828,1977416,0.0,285,538361,538361.0,6,1.00393
139,Native American Bank (Construction Lo,,an) 18,6.00%,"$12,691,412 ",19-038,Construction Financing,,,Bank Loan,CA-2019-038,,0.09,Nupchi Xo'oy (Mulberry Project),"W Mulberry Ave & N. Shadowood Street, Porterville, CA 93257",Porterville,93257,,Tulare,26.0,14.0,23.0,37.0,"APN 247-210-044, 247-250-072, 247-250-073",Preliminary Reservation,,,New Construction,Large Family,40.0,39.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.0,0.0,10.0,0.0,0.0,Tule River Indian Housing Authority,Thomas Collishaw,342 Indian Reservation Dr.,Porterville,CA,93257.0,5597843155,,Self-Help Enteprises,Tule River Indian Housing Authority,,,,A.W.I Management Company,Linda Frazier,120 Center Street/P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,1100954.0,,Large Family,40,0.09,Nupchi Xo'oy (Mulberry Project),Porterville,93257,Tulare,New Construction,New Construction,1100954.0,,15373111,1055000.0,8506117.0,0.0,558917.0,,,0.0,450000,1358673,0.0,80140,1106288,2257975,0.0,131,384328,373887.0,7,0.9174
140,NeighborWorks (Sponsor Loan),,660,3.00%,"$600,000 ",19-038,Construction Financing,,,Local Grant,CA-2019-038,,0.09,Nupchi Xo'oy (Mulberry Project),"W Mulberry Ave & N. Shadowood Street, Porterville, CA 93257",Porterville,93257,,Tulare,26.0,14.0,23.0,37.0,"APN 247-210-044, 247-250-072, 247-250-073",Preliminary Reservation,,,New Construction,Large Family,40.0,39.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.0,0.0,10.0,0.0,0.0,Tule River Indian Housing Authority,Thomas Collishaw,342 Indian Reservation Dr.,Porterville,CA,93257.0,5597843155,,Self-Help Enteprises,Tule River Indian Housing Authority,,,,A.W.I Management Company,Linda Frazier,120 Center Street/P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,1100954.0,,Large Family,40,0.09,Nupchi Xo'oy (Mulberry Project),Porterville,93257,Tulare,New Construction,New Construction,1100954.0,,15373111,1055000.0,8506117.0,0.0,558917.0,,,0.0,450000,1358673,0.0,80140,1106288,2257975,0.0,131,384328,373887.0,7,0.9174
141,TRIHA Sponsor Loan (Acquisition),,660,3.00%,"$300,000 ",19-038,Construction Financing,,,Local Grant,CA-2019-038,,0.09,Nupchi Xo'oy (Mulberry Project),"W Mulberry Ave & N. Shadowood Street, Porterville, CA 93257",Porterville,93257,,Tulare,26.0,14.0,23.0,37.0,"APN 247-210-044, 247-250-072, 247-250-073",Preliminary Reservation,,,New Construction,Large Family,40.0,39.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.0,0.0,10.0,0.0,0.0,Tule River Indian Housing Authority,Thomas Collishaw,342 Indian Reservation Dr.,Porterville,CA,93257.0,5597843155,,Self-Help Enteprises,Tule River Indian Housing Authority,,,,A.W.I Management Company,Linda Frazier,120 Center Street/P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,1100954.0,,Large Family,40,0.09,Nupchi Xo'oy (Mulberry Project),Porterville,93257,Tulare,New Construction,New Construction,1100954.0,,15373111,1055000.0,8506117.0,0.0,558917.0,,,0.0,450000,1358673,0.0,80140,1106288,2257975,0.0,131,384328,373887.0,7,0.9174
142,Native American Bank (Perm Loan),,204,6.000%,"$1,554,000",19-038,Permanent Financing,,"$111,804",Bank Loan,CA-2019-038,,0.09,Nupchi Xo'oy (Mulberry Project),"W Mulberry Ave & N. Shadowood Street, Porterville, CA 93257",Porterville,93257,,Tulare,26.0,14.0,23.0,37.0,"APN 247-210-044, 247-250-072, 247-250-073",Preliminary Reservation,,,New Construction,Large Family,40.0,39.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.0,0.0,10.0,0.0,0.0,Tule River Indian Housing Authority,Thomas Collishaw,342 Indian Reservation Dr.,Porterville,CA,93257.0,5597843155,,Self-Help Enteprises,Tule River Indian Housing Authority,,,,A.W.I Management Company,Linda Frazier,120 Center Street/P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,1100954.0,,Large Family,40,0.09,Nupchi Xo'oy (Mulberry Project),Porterville,93257,Tulare,New Construction,New Construction,1100954.0,,15373111,1055000.0,8506117.0,0.0,558917.0,,,0.0,450000,1358673,0.0,80140,1106288,2257975,0.0,131,384328,373887.0,7,0.9174
143,Native American Bank (Title VI),,240,6.160%,"$2,701,259",19-038,Permanent Financing,Deferred,,Bank Loan,CA-2019-038,,0.09,Nupchi Xo'oy (Mulberry Project),"W Mulberry Ave & N. Shadowood Street, Porterville, CA 93257",Porterville,93257,,Tulare,26.0,14.0,23.0,37.0,"APN 247-210-044, 247-250-072, 247-250-073",Preliminary Reservation,,,New Construction,Large Family,40.0,39.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.0,0.0,10.0,0.0,0.0,Tule River Indian Housing Authority,Thomas Collishaw,342 Indian Reservation Dr.,Porterville,CA,93257.0,5597843155,,Self-Help Enteprises,Tule River Indian Housing Authority,,,,A.W.I Management Company,Linda Frazier,120 Center Street/P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,1100954.0,,Large Family,40,0.09,Nupchi Xo'oy (Mulberry Project),Porterville,93257,Tulare,New Construction,New Construction,1100954.0,,15373111,1055000.0,8506117.0,0.0,558917.0,,,0.0,450000,1358673,0.0,80140,1106288,2257975,0.0,131,384328,373887.0,7,0.9174
