,id,units_n,city,state,zipcode,tpop,con_type,sqft_rent,equity_net,totalcost,hardcost,sources_n,source1type,source1,source2type,source2,source3type,source3,source4type,source4,source5type,source5,source6type,source6,source7type,source7,source8type,source8,source9type,source9,source10type,source10,source11type,source11,loi_date,closedate,con_stdate,concomdate,stabdate,df,yr_pis
73,74,57,Bronx,NY,10458,Family,New," 18,150 "," $6,389,344 "," $13,493,892 ",,4,LIHTC Equity," $6,559,344 ",Syndication Cost (5.07)," $144,500 ",HPD Loan," $6,270,000 ",Sponsor Loan," $520,048 ",,,,,,,,,,,,,,,,12/23/08,03/21/09,11/12/10,12/01/11,i,2010
74,75,36,Chester,NY,10918,Family,Rehab-Around," 25,868 "," $3,220,048 "," $7,210,213 ",,11,LIHTC Equity," $3,221,898 ",Ulster Bank," $1,300,000 ",RD Loan Assumption," $755,632 ",HAC 3rd Mortgage," $500,000 ",GP Loan of Dyson Funds," $75,000 ",GP Loan of NY Weatherization Funds," $162,000 ",GP Loan of NYSERDA Funds," $46,080 ",FHLB Funds," $540,000 ",GP Capital Contribution of IDDP Funds," $180,000 ",RRAP rental subsidy during relocation," $63,563 ",Deferred Developer Fee," $366,040 ",,07/27/09,03/31/09,07/24/09,12/15/09,i,2009
75,76,60,Baltimore ,MD,21202,Family,New," 48,354 "," $5,691,617 "," $16,587,779 ",,10,Net Equity to Fund ," $5,691,617 ",Freddie Perm 1st Mortgage," $1,790,000 ",CORE Funds via ReBuild Metro Sponsor Loan," $1,200,000 ",City of Baltimore - HOME," $2,000,000 ",Seller Take-Back-Note Baltimore City," $300,000 ",Rental Housing Works," $2,425,000 ",Freddie Commitment Fee," $35,800 ",National Housing Trust Fund," $1,441,416 ",Weinberg via ReBuild Metro Sponsor Loan ," $1,500,000 ",Deferred Fee ," $203,946 ",,,,07/24/19,08/23/19,02/15/21,04/30/21,i,2021
76,77,108,Culpeper,VA,22701,Family,New,," $3,254,036 "," $9,080,060 ",,2,Net Equity to Local," $3,030,060 ",VHDA Tax-Exempt Bond," $6,050,000 ",,,,,,,,,,,,,,,,,,,,02/03/04,02/01/04,12/15/05,12/31/06,i,2005
77,78,36,Warrensburg,MO,64093,Elderly,New," 31,140 "," $3,017,996 "," $5,669,791 ",,5,LIHTC Equity," $3,017,996 ",MDHC HOME," $230,000 ",MDHC HOME," $730,000 ",State Tax Credit Equity," $1,579,795 ",Deferred Fee," $112,000 ",,,,,,,,,,,,,,12/03/14,12/10/14,12/23/15,03/31/16,i,2015
78,79,32,Springfield,MO,65802,Family,New," 37,172 "," $3,093,549 "," $5,094,549 ",,5,Net Equity to Fund," $3,142,049 ",MHDC," $545,000 ",City of Springfield," $100,000 ",City of Springfield," $100,000 ",State Credit Partner," $1,207,500 ",,,,,,,,,,,,,,10/01/07,10/02/07,10/30/08,12/31/08,i,2008
79,80,129,Hempstead,NY,11549,Family,Gut Rehab," 104,670 "," $2,968,453 "," $17,194,289 ",,9,LIHTC Equity," $2,469,953 ",Tax Exempt Bonds," $5,590,000 ",Existing Cash Used for Development," $284,924 ",Existing Reserves," $661,957 ",Residual Receipts as Equity," $3,568,201 ",Residual Receipts as Loan," $2,013,928 ",GIC Income," $171,686 ",Deferred Dev Fee," $948,680 ",Interim Income," $1,484,960 ",,,,,,12/20/06,11/01/06,01/31/08,10/01/07,i,2008
80,81,151,Hampton,VA,23666,Elderly,New," 135,692 "," $3,160,522 "," $13,514,575 ",,4,Net Equity to Local," $3,366,799 ",VHDA Tax Exempt Bonds," $7,500,000 ",VHDA REACH Loan," $1,500,000 ",Deferred Developer Fee," $1,147,776 ",,,,,,,,,,,,,,,,05/16/07,04/05/07,04/24/08,03/31/09,i,2008
81,82,50,Shinnston,WV,26431,Family,New," 44,970 "," $5,208,266 "," $6,700,293 ",,3,LIHTC Equity," $5,258,266 ",1st Mortgage," $1,235,000 ",Deferred Fee," $207,027 ",,,,,,,,,,,,,,,,,,11/26/12,07/01/12,04/30/13,08/31/13,i,2013
82,83,32,Torrington,WY,82240,Family,New," 29,500 "," $3,989,601 "," $5,010,430 ",,2,Federal Tax Credit Equity," $3,989,601 ",Hard Debt," $1,020,829 ",,,,,,,,,,,,,,,,,,,,11/26/12,06/05/12,01/18/13,08/31/13,i,2013
83,84,60,Ely,NV,89301,Family,Rehab-Around," 39,952 "," $5,122,800 "," $7,381,732 ",,5,Federal Tax Credit Equity," $5,122,800 ",Hard Debt," $1,729,090 ",Soft Debt," $350,000 ",Reserve Account," $142,763 ",Deferred Developer Fee," $37,079 ",,,,,,,,,,,,,,04/29/14,03/17/14,12/31/14,07/31/14,i,2014
84,85,50,Bronx,NY,10452,Homeless,New,," $5,916,374 "," $17,597,689 ",,3,Net Equity to Fund," $5,916,374 ",HDF TE Bonds (Dasny) ," $11,289,263 ",Sponsor Loan ," $392,052 ",,,,,,,,,,,,,,,,,,11/29/18,12/08/17,04/15/20,09/01/20,i,2020
85,86,64,Meridian,MS,39307,Family,Rehab-Around,," $3,604,731 "," $5,322,838 ",,4,Federal Tax Credit Equity," $3,604,731 ",Hard Debt ," $1,000,000 ",Soft Debt ," $282,000 ",Deferred Developer Fee ," $436,107 ",,,,,,,,,,,,,,,,10/19/17,06/01/16,10/31/17,06/01/17,i,2017
86,87,35,Bronx,NY,10460,Family,New," 36,596 "," $5,524,221 "," $9,396,854 ",,4,Net Equity to Local Partnership," $5,599,221 ",Chase 1st Mortgage," $537,500 ",HDFC 421-a Loan," $2,980,500 ",Deferred Developers Fee," $279,633 ",,,,,,,,,,,,,,,,08/01/07,08/15/07,02/18/09,12/31/09,i,2009
87,88,72,Elverson,PA,19520,Elderly,Gut Rehab," 45,000 "," $6,278,880 "," $11,987,272 ",,7,Net Equity," $6,416,090 ",Penn HOMES Loan," $1,500,000 ",County HOME Loan," $424,750 ",County HTF," $925,250 ",PHFA," $500,000 ",FHLB Loan," $550,000 ",ARRA Funds," $1,671,182 ",,,,,,,,,,12/11/09,12/17/09,03/31/11,12/30/11,i,2011
88,89,56,Milwaukee,WI,53209,Elderly,Rehab-Around," 35,128 "," $3,484,698 "," $5,999,478 ",,3,USA Institutional Tax Credit Fund LXVII," $3,484,698 ",Wisconsin Housing and Economic Development Tax Credit Financing," $2,500,000 ",Deferred Developer Note," $14,780 ",,,,,,,,,,,,,,,,,,10/23/08,10/23/08,10/01/09,10/31/09,i,2009
89,90,76,Horizon City,TX,79928,Family,New,," $4,848,921 "," $6,065,989 ",,3,Net Equity To Local," $4,499,264 ",1st Mortgage," $1,440,000 ",Deferred Developer Fee," $126,725 ",,,,,,,,,,,,,,,,,,08/24/05,08/22/05,09/15/06,06/30/07,i,2006
90,91,136,Georgetown,TX,78628,Family,Rehab-Around," 108,752 "," $10,810,488 "," $15,603,649 ",,7,Net Equity to Fund," $10,810,487 ",USDA 515," $1,691,769 ",USDA 515," $543,544 ",USDA 515," $412,150 ",Agency HOME," $1,300,000 ",Existing Reserve Withdrawls," $300,000 ",Deferred Developer Fee," $545,699 ",,,,,,,,,,06/26/13,06/27/13,01/31/14,01/31/14,i,2014
91,92,94,Baltimore ,MD,21229,Family,Rehab-Around," 69,895 "," $3,554,612 "," $18,371,071 ",,9,Net Equity to Fund ," $3,570,864 ",MD-HCD Risk Share ," $4,195,000 ",CDA RHPP," $1,656,141 ",CDA PRHP," $1,950,000 ",Baltimore City HOME," $2,998,863 ",CDA - RHW," $2,082,919 ",CDA - MEEHA Energy  Funds," $1,016,124 ",Escrows RFR & Other ," $182,420 ",Deferrred Fee," $718,740 ",,,,,,12/18/17,01/15/18,12/31/18,12/31/18,i,2018
92,93,168,Hudson,FL,34667,Family,New,," $7,346,493 "," $23,078,341 ",,7,Net Equity to Local Partnership," $7,680,595 ",Tax Exempt Bond," $7,056,584 ",SAIL Loan," $4,700,000 ",Extremely LowIncome Loan," $1,445,000 ",GIC Income," $251,032 ",Dev Note," $1,847,516 ",SAIL Interest," $97,614 ",,,,,,,,,,08/13/08,08/13/08,01/11/10,06/30/10,i,2010
93,94,40,Huron,SD,57350,Elderly,New," 31,660 "," $4,634,888 "," $5,952,022 ",,4,Federal Tax Credit Equity ," $4,614,888 ",HFA Home Loan," $1,061,000 ",Deferred Developer Fee," $186,134 ",Seller Take-back," $90,000 ",,,,,,,,,,,,,,,,10/26/17,10/27/17,11/12/18,07/23/19,i,2018
94,95,25,New York,NY,10027,SRO,New," 18,887 "," $1,528,290 "," $5,464,720 ",,5,Net Equity to Local," $1,132,224 ",HHAP Loan," $3,725,000 ",HU/HUD Loan," $400,000 ",HU/AHP Loan," $200,000 ",Deferred Developer Fee," $7,496 ",,,,,,,,,,,,,,06/21/05,06/30/05,04/07/08,06/05/08,i,2008
95,96,129,Brooklyn ,NY,11217,Special Needs,Adaptive," 53,741 "," $27,349,279 "," $72,137,568 ",,9,LIHTC Equity," $27,257,803 ",Solar Equity ," $91,476 ",HFA 1st ," $13,555,000 ",HDP SHLP/AG Funds," $10,598,633 ",HCR SHOP," $9,030,000 ",Sponsor Seller Loan," $3,820,746 ",Sponsor Loan ," $886,577 ",Accured Interest ," $1,977,836 ",Deferred Development Fee," $4,919,497 ",,,,,,03/25/19,03/25/19,10/01/21,01/31/22,i,2021
96,97,94,Dededo,GU,96929,Family,New," 115,855 "," $20,822,541 "," $25,651,564 ",,3,Net Equity to Local," $21,039,541 ",1st Mortgage," $4,609,928 ",Dev. Fee," $2,095 ",,,,,,,,,,,,,,,,,,06/29/07,06/08/08,03/05/09,10/31/09,i,2009
97,98,24,Ishpeming,MI,49849,Family,Gut Rehab," 26,619 "," $5,899,001 "," $7,102,784 ",,4,Federal Tax Credit Equity," $6,041,002 ",Hard Debt," $249,000 ",Soft Debt," $764,000 ",Deferred Developer Fee," $48,782 ",,,,,,,,,,,,,,,,07/10/14,07/14/14,11/17/15,03/11/16,i,2015
98,99,254,South Jacksonville,IL,62650,Family,Rehab-Around," 169,360 "," $6,670,908 "," $14,071,540 ",,7,Net Equity to Fund," $6,796,404 ",Illinois National Bank," $350,000 ",IHDA HOME," $2,000,000 ",IHDA Trust Fund," $1,000,000 ",Sponsor's Loan (AHP Grant & Donation Tax Credits)," $1,653,611 ",Sponsor's Loan (Seller Financing)," $1,820,000 ",Deferred Developer Note," $451,525 ",,,,,,,,,,12/17/08,05/04/09,07/31/10,08/31/10,i,2010
99,100,36,Ishpeming,MI,57350,Elderly,New," 36,465 "," $6,153,984 "," $7,868,148 ",,5,Federal Investor Net Equity ," $6,153,984 ",Bellweather Capital ," $1,161,000 ",Brownfield grant ," $190,326 ",Development Source," $35,000 ",Deferred Developer Fee," $327,838 ",,,,,,,,,,,,,,10/10/19,09/27/19,11/01/20,04/30/21,i,2020
100,101,150,Brooklyn,NY,11221,Elderly,Rehab-Around," 94,150 "," $3,434,607 "," $12,748,195 ",,8,LIHTC Equity," $3,417,229 ",HDC 1st Mtg," $6,000,000 ",Sellers Note," $2,175,077 ",Existing Reserves," $233,452 ",St. Nicks Loan (FHLB)," $450,000 ",St. Nicks Loan (NYSERDA)," $191,000 ",Income from Operations," $220,000 ",Deferred Developer Fee," $61,437 ",,,,,,,,06/24/09,06/25/09,12/28/09,12/28/09,i,2009
101,102,30,Juncos,PR,777,Elderly,New," 18,900 "," $4,583,606 "," $4,598,606 ",,3,Net Equity to Local," $3,998,606 ","Popular Mortgage, Inc."," $400,000 ",General Partner's Loan," $200,000 ",,,,,,,,,,,,,,,,,,11/07/07,03/05/07,06/04/08,08/15/08,i,2008
102,103,24,Racine,WI,53405,Elderly,New," 19,520 "," $2,935,862 "," $3,866,000 ",,3,Net Equity to Fund," $2,946,862 ",Valley Bank," $715,000 ",Deferred Developer Fee," $204,138 ",,,,,,,,,,,,,,,,,,12/28/07,12/28/07,10/13/08,12/31/08,i,2008
103,104,135,Troy,NY,12180,Elderly,Rehab-Around,," $12,688,755 "," $19,612,340 ",,6,Net Equity to Local," $12,478,754 ",M&T 1st Mortgage," $1,900,000 ",THA Seller Note," $3,935,000 ",DHCR," $500,000 ",Acquired Reserves," $494,000 ",Deferred Developer Note," $304,586 ",,,,,,,,,,,,06/30/03,07/01/03,11/01/04,12/31/04,i,2004
104,105,141,Lewistown,PA,17044,Elderly,Rehab-Around," 51,044 "," $3,439,393 "," $14,868,105 ",,4,Net LIHTC Equity to Fund," $3,645,565 ",FHA 223(f) 1st Mortgage Loan," $8,462,500 ",Seller Note," $2,475,000 ",Interim Income," $285,040 ",,,,,,,,,,,,,,,,12/30/14,01/05/15,12/31/15,12/31/15,i,2015
105,106,140,Baton Rouge ,LA,70812,Family,Rehab-Around," 98,782 "," $4,490,730 "," $16,510,232 ",,3,Federal LIHTC Equity ," $4,490,730 ",First Mortgage (Citibank)," $10,700,000 ",Deferred Develope Fee," $1,319,502 ",,,,,,,,,,,,,,,,,,01/23/19,01/23/19,11/05/19,11/30/19,i,2019
106,107,124,Bayamon,PR,956,Elderly,New," 49,600 "," $10,795,610 "," $13,533,045 ",,3,Net Equity to Local," $8,573,045 ",First Mortgage," $775,000 ",NFP Loan (HOME)," $4,185,000 ",,,,,,,,,,,,,,,,,,10/01/07,09/07/07,03/02/09,12/21/09,i,2009
107,108,72,Fayetteville ,NC,28304,Family,New," 89,640 "," $5,830,067 "," $9,021,887 ",,5,Net Equity to Fund ," $5,830,067 ",Centrant 1st Mtg Loan ," $2,300,000 ",Builders fee Deferred," $333,192 ",Def Dev Fee," $383,628 ",GP Capital Contribution," $175,000 ",,,,,,,,,,,,,,07/12/18,07/13/18,12/18/19,03/30/20,i,2019
108,109,160,Spring Hill,FL,34608,Family,New," 177,680 "," $7,069,714 "," $24,011,962 ",,7,Net Equity to Local," $7,491,647 ",Tax Exempt Bond," $7,680,000 ",SAIL Loan," $4,700,000 ",Extremely Low Income Loan," $1,360,000 ",GIC Income," $102,355 ",Dev Note," $2,601,697 ",SAIL Interest," $76,263 ",,,,,,,,,,11/14/08,11/20/08,01/04/10,06/24/10,i,2010
109,110,40,Lander,WY,82520,Family,New," 45,520 "," $4,794,808 "," $6,591,582 ",,4,Federal Tax Credit Equity," $4,794,808 ",Hard Debt," $915,000 ",Soft Debt," $745,000 ",Deferred Developer Fee," $136,774 ",,,,,,,,,,,,,,,,11/26/12,11/01/12,12/09/13,02/28/14,i,2013
110,111,100,San Marcos,CA,92069,Family,New,," $9,829,891 "," $26,543,115 ",,4,Net Equity to Local," $9,829,891 ",Bonds," $13,500,000 ",Non-Profit Loan," $1,850,500 ",Developer Note," $1,362,724 ",,,,,,,,,,,,,,,,06/09/05,06/09/05,11/29/06,12/31/06,i,2006
111,112,32,Aberdeen,SD,57401,Family,Rehab-Around," 27,712 "," $1,950,039 "," $3,389,920 ",,4,Net Equity to Local," $1,950,039 ",1st Mortgage (Citibank)," $700,000 ",HOME (SDHRA)," $539,881 ",General Partner Loan," $200,000 ",,,,,,,,,,,,,,,,12/28/07,12/07/07,12/31/08,10/31/08,i,2008
112,113,36,Lebanon,MO,65536,Elderly,New,," $3,002,198 "," $4,857,198 ",,3,Net Equity to LP," $3,022,198 ",MHDC Loan," $600,000 ",Sale of State Credits," $1,235,000 ",,,,,,,,,,,,,,,,,,09/16/08,07/01/07,08/20/08,02/28/09,i,2008
113,114,99,Bronx,NY,10456,Family,New," 32,175 "," $11,300,340 "," $26,802,207 ",,5,LIHTC Equity," $12,010,340 ",HPD Loan," $11,880,000 ",AHP Loan," $1,960,000 ",Sponsor Loan - NYSERDA," $117,452 ",Sponsor Loan," $834,415 ",,,,,,,,,,,,,,05/16/12,08/27/12,10/30/14,12/31/14,i,2014
114,115,295,Buffalo,NY,14209,Family,Rehab-Around,," $15,397,027 "," $42,924,703 ",,10,Net LIHTC Equity to Fund @ $0.8525," $10,243,173 ",Net HTC Equity to Fund @ $0.9000," $2,886,008 ",Net SHTC Equity to Fund @ $0.4600," $1,475,071 ",HFA," $18,420,000 ",Purchase Money Mortgage," $2,500,000 ",HFA Subsidy," $2,700,000 ",Accrued HFA Subsidy Interest," $46,348 ",Accrued Purchase Money Mortgage Interest," $168,750 ",Construction Period NOI," $1,673,661 ",Deferred Developer Fee," $2,811,692 ",,,,08/21/14,08/22/14,12/22/15,02/29/16,i,2015
115,116,48,Lovelock,NV,89419,Family,Rehab-Around," 14,400 "," $4,211,471 "," $6,020,064 ",,6,Net Equity," $3,841,305 ",USDA-RD Loan Sec 515 (Rosewood)," $879,295 ",USDA-RD Loan Sec 515 (Pershing)," $361,889 ",HOME Funds," $350,000 ",Transfer of Existing Reserve Equity," $71,395 ",Deferred Developer Fee," $516,180 ",,,,,,,,,,,,10/31/12,05/04/12,03/31/13,09/30/12,i,2013
116,117,24,Columbus,MS,39702,Family,New," 36,480 "," $2,670,040 "," $3,867,771 ",,4,Federal Tax Credit Equity," $2,746,040 ",Hard Debt," $720,000 ",Non-Profit Note," $150,000 ",Deferred Developer Fee," $251,731 ",,,,,,,,,,,,,,,,04/10/14,05/01/14,06/30/15,06/30/15,i,2015
117,118,130,Pueblo,CO,81003,Family,Rehab-Around," 121,026 "," $2,935,243 "," $10,110,714 ",,9,Net Equity to Local," $2,935,244 ",NOI Tax-Exempt Mortgage," $4,413,000 ",Housing Opportunity Fund Loan," $750,000 ",IRP Mortgage," $892,195 ",Pueblo Housing Authority HOME Funds," $250,000 ",City of Pueblo HOME Funds," $250,000 ",Energy Grant," $148,133 ",Developer Note," $32,957 ",Interim Income," $439,185 ",,,,,,01/31/08,02/11/08,12/31/08,12/31/08,i,2008
118,119,36,Wichita,KS,67214,Family,New," 51,200 "," $4,037,471 "," $5,139,671 ",,5,Net Equity," $4,037,471 ",First Mortgage," $450,000 ",Deferred Developer Fee," $208,200 ",KHRC HOME Funds," $300,000 ",FHLB Loan," $144,000 ",,,,,,,,,,,,,,02/13/08,03/31/08,01/14/09,04/24/09,i,2009
119,120,51,Minneapolis,MN,55404,Family,Rehab-Around," 55,886 "," $5,198,225 "," $17,424,998 ",,6,NET LIHTC Equity to Fund," $5,198,225 ",FNMA MAH Loan," $8,100,000 ",Def Dev Fee ," $612,603 ",Seller Loan," $2,650,000 ",Net Interim Income," $629,049 ",Seller Note interest accural ," $235,121 ",,,,,,,,,,,,11/01/19,11/01/19,09/13/20,11/01/20,i,2020
120,121,42,Paris,IL,61944,Family,New," 38,370 "," $5,456,675 "," $8,993,496 ",,6,USA Institutional Tax Credit Fund," $5,456,675 ",Illinois Housing Development Authority - Home Funds (1st Mortgage)," $2,000,000 ",Illinois Housing Development Authority - Trust Funds (2nd Mortgage)," $925,970 ",Laborers' Home Development  Trust Funds (3rd Mortgage)," $265,205 ",GP Loan (Energy Grant)," $112,295 ",Deferred Developer Fee," $233,351 ",,,,,,,,,,,,09/16/14,09/10/14,08/31/15,09/11/15,i,2015
121,122,96,Blue Island,IL,60406,Family,Rehab-Around," 51,019 "," $3,387,248 "," $11,733,565 ",,8,Net Equity to Fund," $2,868,966 ",FHA 221d4," $4,050,000 ",Housing Trust Fund," $900,000 ",Cook County HOME," $1,000,000 ",Seller's Note," $720,000 ",DTC Loan," $1,152,000 ",Construction Period Income," $228,020 ",Deferred Developer Fee," $814,579 ",,,,,,,,11/23/15,12/01/15,03/15/17,09/01/17,i,2017
122,123,83,Brooklyn,NY,11216,Family,Gut Rehab," 62,679 "," $12,563,914 "," $17,927,430 ",,3,LIHTC Equity," $12,563,914 ",Retail Const. Mortgage," $2,299,500 ",HPD SHLP," $3,064,016 ",,,,,,,,,,,,,,,,,,06/28/13,07/01/13,10/19/15,10/14/16,i,2015
123,124,88,Hobbs,NM,88240,Family,Rehab-Around," 77,232 "," $8,338,460 "," $11,600,644 ",,6,Federal Tax Credit Equity," $8,471,191 ",US Bank," $1,000,000 ",State HOME," $600,000 ",AHP," $696,000 ",LCH Loan," $440,000 ",Deferred Developer Fee," $393,453 ",,,,,,,,,,,,01/09/13,01/09/13,12/16/13,12/31/13,i,2013
124,125,24,Hattiesburg,MS,39401,Family,New," 36,480 "," $2,742,108 "," $3,946,556 ",,4,Federal Tax Credit Equity," $2,842,109 ",Hard Debt," $700,000 ",Non Profit Note," $125,000 ",Deferred Developer Fee," $279,447 ",,,,,,,,,,,,,,,,04/10/14,04/15/14,07/30/15,08/31/15,i,2015
125,126,97,Bronx,NY,10457,Family,New," 69,640 "," $11,077,022 "," $25,776,743 ",,5,Net Equity to Local Partnership," $11,077,022 ",HDC 1st Mortgage," $1,490,000 ",HDC 2nd Mortgage," $5,335,000 ",HPD MIRP Loan," $5,820,000 ",Deferred Developers Fee," $2,054,721 ",,,,,,,,,,,,,,12/29/06,01/08/07,06/18/08,02/27/09,i,2008
126,127,26,Haverstraw,NY,10927,Family,New," 22,381 "," $4,367,480 "," $6,453,979 ",,5,LIHTC Equity," $4,367,480 ",CPC 1st Mortgage," $300,000 ",NY Housing Trust Fund Loan," $1,352,000 ",GP Capital Contribution," $70,000 ",Deferred Developer Fee," $364,499 ",,,,,,,,,,,,,,10/30/09,11/23/09,12/28/10,03/01/11,i,2010
127,128,80,Meriden,CT,6450,Family,Rehab-Around," 77,114 "," $4,438,319 "," $11,662,226 ",,8,Net Equity to Fund," $4,423,897 ",CHFA Bonds," $990,000 ",CHFA Mortgage Non Bonds (Assumed Debt)," $1,202,261 ",DOH Gap Funding-CHAMP," $3,590,049 ",GP Equity," $225,000 ",State Historic Credits," $1,034,498 ",Interim NOI," $51,006 ",Deferred Developer Fee," $145,515 ",,,,,,,,11/09/15,09/05/15,08/04/16,08/04/16,i,2016
128,129,56,Newark,DE,19711,Family,New," 58,977 "," $11,910,932 "," $13,266,470 ",,3,Net Equity," $11,870,932 ",1st Mortgage - DSHA," $760,688 ",Newark Housing Authority Loan DNREC Funds," $634,850 ",,,,,,,,,,,,,,,,,,07/15/14,07/15/14,01/15/16,12/24/15,i,2016
129,130,39,Nixa ,MO,65714,Family,New," 47,960 "," $6,155,608 "," $7,840,417 ",,5,Federal LIHTC Equity ," $6,155,608 ",MHDC Housing Trust Fund ," $600,000 ",MHDC HOME," $1,000,000 ",Deferred Developer Fee," $84,709 ",GP Equity , $100 ,,,,,,,,,,,,,,04/18/19,04/19/19,06/15/20,08/30/20,i,2020
130,131,72,North East,MD,21901,Family,New," 64,200 "," $8,208,755 "," $14,136,154 ",,6,Net Equity," $8,196,755 ",Capital One - 1st Mortgage," $2,675,000 ",DHCD HOME Loan," $2,000,000 ",DHCD Empower Loan," $225,367 ",GP Capital Contribution," $219,000 ",Deferred Fee," $820,032 ",,,,,,,,,,,,10/23/12,10/29/12,11/13/13,04/30/14,i,2013
131,132,50,Manhattan,NY,10035,Special Needs,New,," $5,069,094 "," $13,833,437 ",,3,Net Equity to LP," $4,879,412 ",GP Loan (TE Bonds)," $7,737,100 ",Spnosor Loan," $1,216,925 ",,,,,,,,,,,,,,,,,,09/23/08,01/31/08,03/02/10,08/20/10,i,2010
132,133,54,New Orleans,LA,70112,Family,Gut Rehab," 52,500 "," $7,487,946 "," $8,916,038 ",,3,Net Equity to Fund," $7,549,047 ",Valley Bank," $1,060,000 ",Deferred Developer Fee," $306,991 ",,,,,,,,,,,,,,,,,,12/15/06,12/15/06,04/17/08,09/01/08,i,2008
133,134,12,Guernsey ,WY,82214,Family,New," 10,700 "," $1,899,588 "," $2,112,786 ",,3,Federal Tax Credit Equity," $1,917,689 ",Hard Debt," $170,000 ",Deferred Developer Fee," $25,097 ",,,,,,,,,,,,,,,,,,11/26/12,05/21/12,11/13/12,05/25/13,i,2012
134,135,72,Box Elder,SD,57719,Family,Rehab-Around," 58,472 "," $2,162,754 "," $4,689,843 ",,6,Net Equity to Local," $2,183,677 ",RD Existing," $665,053 ",Rural Development," $310,000 ",Home," $1,213,000 ",Purchased Reserves," $188,962 ",Developer Note," $129,151 ",,,,,,,,,,,,12/20/06,11/01/06,09/20/07,12/31/07,i,2007
135,136,62,Cecilton,MD,21913,Family,New," 58,550 "," $9,914,870 "," $12,726,108 ",,7,Net Equity," $9,813,869 ",1st Mortgage - 538 Program," $1,780,000 ",Town of Cecilton," $91,305 ",Cecil County," $65,000 ",GP Capital Contribution," $199,000 ",FHLB," $500,000 ",Deferred Fee," $276,934 ",,,,,,,,,,03/05/14,03/07/14,05/30/15,10/15/15,i,2015
136,137,60,Altus ,OK,73521,Elderly,Rehab-Around," 43,080 "," $2,259,199 "," $4,970,356 ",,4,Federal Investor Net Equity ," $2,259,199 ",Booneville USDA 538," $1,200,000 ",State Investor ," $1,450,823 ",Project NOI ," $60,334 ",,,,,,,,,,,,,,,,12/26/17,03/01/18,08/25/18,04/30/18,i,2018
137,138,42,Joplin,MO,64801,Elderly,New," 45,654 "," $5,043,167 "," $7,043,168 ",,3,Net Equity," $4,662,478 ",State LIHTC Equity," $2,334,900 ",Deferred Developer Fee," $45,790 ",,,,,,,,,,,,,,,,,,11/26/12,07/05/12,07/15/13,12/30/13,i,2013
138,139,38,Easthampton,MA,1027,Family,New," 32,010 "," $5,926,383 "," $11,139,261 ",,8,Federal Tax Credit Equity," $5,926,383 ",HAP - State LIHTC Credits Loan," $1,497,661 ",Easthampton Savings Bank," $750,000 ",DHCD HOME," $490,217 ",DHCD HSF," $1,000,000 ",DHCD AHTF," $1,175,000 ",Valley CDC - CPA Funds," $200,000 ",Valley CDC - TD Grant," $100,000 ",,,,,,,,07/28/14,08/01/14,07/31/15,10/15/15,i,2015
139,140,180,El Paso,TX,79938,Family,New," 154,812 "," $9,246,918 "," $15,179,440 ",,4,Net Equity (USA LXVII)," $9,246,918 ",Bowling Construction ," $3,600,000 ",1st Mortgage," $938,937 ",Deferred Dev Fee," $1,393,585 ",,,,,,,,,,,,,,,,10/15/08,08/01/08,03/31/09,05/30/09,i,2009
140,141,120,Las Piedras,PR,771,Family,New," 141,120 "," $18,825,057 "," $24,589,920 ",,3,LIHTC Equity," $17,483,499 ",PRHFA Loan," $2,685,000 ",HOME Loan," $4,421,421 ",,,,,,,,,,,,,,,,,,10/27/15,11/01/15,02/28/18,06/20/18,i,2018
141,142,120,Patillas,PR,723,Elderly,New," 58,200 "," $12,032,176 "," $12,829,503 ",,3,Net Equity to Local," $10,831,303 ",R&G Mortgage," $1,048,200 ",GP Loan," $950,000 ",,,,,,,,,,,,,,,,,,05/16/07,05/07/07,09/23/08,09/11/09,i,2008
142,143,80,New Orleans,LA,70122,Elderly,Gut Rehab," 58,560 "," $8,351,060 "," $19,843,725 ",,7,Fed LIHTC ," $8,351,060 ",Cedar Rapids Bank & Trust ," $5,050,000 ",CDBG/HOME," $2,900,000 ","Seller Note - 3821 Franklin SPE, LLC "," $396,000 ",Seller Note Interest," $17,214 ",Home by Hand," $2,092,969 ",Deferred Developer Fee ," $1,036,482 ",,,,,,,,,,07/11/19,07/17/19,08/24/20,12/01/20,i,2020
143,144,36,Detroit,MI,48203,Family,New," 45,250 "," $9,638,246 "," $10,143,240 ",,3,Federal Tax Credit Equity," $9,758,246 ",AHP Loan," $300,000 ",Deferred Developer Fee," $84,994 ",,,,,,,,,,,,,,,,,,12/31/12,03/03/13,10/15/13,10/31/13,i,2013
144,145,72,Orangeburg,SC,29118,Family,New," 62,100 "," $4,817,206 "," $7,438,365 ",,8,Net Equity," $4,817,206 ",1st Mortgage - Bank of America," $954,735 ",SCHFDA HOME Loan," $100,000 ",HFI Loan," $630,486 ",HOME/HFI Loan," $300,000 ",SCDMH/HFI Loan," $100,000 ",FHLB/HFI Loan," $500,000 ",Capitalized interest of soft loan," $35,938 ",,,,,,,,12/28/07,12/14/07,08/28/08,11/30/08,i,2008
